id,org_id,name,description,people,tags,areas,collab,url,source
aha-atlas,aha,Atlas of Human-AI Interaction,A living map of empirical findings across the human-AI interaction literature — charting what we actually know about how AI affects people.,hiroshi-ishii|pattie-maes,meta-research|mapping,agency|learning,,,
aha-bench,aha,Benchmarks for Human Flourishing with AI,"Open benchmarks that evaluate AI systems by their impact on human cognitive, emotional, and social outcomes — not just model performance.",pat-pataranutaporn|pattie-maes,benchmarks|evaluation,wellbeing|agency,,https://www.media.mit.edu/projects/flourishing-benchmarks/overview/,
aha-survey,aha,State of AI & Human Flourishing Survey,A recurring survey initiative examining how AI use relates to flourishing across populations.,valdemar-danry|pat-pataranutaporn,survey|measurement,,,,
aha-observatory,aha,Global Observatory for the Human Impact of AI,"Monitoring outcomes of AI adoption worldwide, across cultures and contexts.",pat-pataranutaporn,global|longitudinal,,,,
aha-futureyou,aha,Future You,"An interactive digital-twin system that lets people converse with their older self, shown to reduce anxiety and strengthen future self-continuity.",chayapatr-archiwaranguprok|constanze-albrecht,digital twin|self-reflection,purpose|wellbeing,,,
aha-chatbot-wb,aha,How AI Chatbots Affect Social & Emotional Wellbeing,"A large randomized controlled study — run with OpenAI — of how conversational AI use influences loneliness, socialization, and emotional dependence.",mengying-fang|auren-liu,RCT|wellbeing|OpenAI,wellbeing|social,openai,,
aha-memory,aha,AI-Implanted False Memories,"Experiments showing conversational AI can induce false memories — with implications for testimony, persuasion, and safety.",pat-pataranutaporn|samantha-chan,memory|manipulation,agency,,,
aha-bfai,aha,My Boyfriend is AI,A computational ethnography of human-AI intimate relationships in online communities.,constanze-albrecht|pat-pataranutaporn,companionship|relationships,social,,,
aha-elders,aha,Chatbots & Loneliness in Older Adults,Examining whether AI chatbots relieve or deepen isolation among seniors.,auren-liu|pattie-maes,aging|loneliness,social|wellbeing,,,
aha-grants,aha,AHA Micro Grants,"$5,000–$10,000 seed grants for innovative projects at the intersection of AI and human flourishing.",,funding|seed grants,,,,
aha-openbench,aha,Open Benchmark for the Human Impact of AI,An open benchmarking effort measuring AI’s human impact beyond static performance metrics — in collaboration with the Psychology of Technology Institute.,pat-pataranutaporn,benchmark|collaboration,,psychtech,,
hfp-gfs,harvard-hfp,Global Flourishing Study,"A $43M longitudinal study of ~200,000 people across 22 countries — the largest dataset on what makes humans flourish.",tyler-vanderweele|byron-johnson,longitudinal|global,,baylor-isr|gallup|cos|templeton,,
hfp-ai,harvard-hfp,AI for Human Flourishing Working Group,Designing and testing a flourishing-grounded framework to guide decisions around AI products.,,framework|applied ethics,,,https://hfh.fas.harvard.edu/ai-human-flourishing,
hfp-measure,harvard-hfp,The Flourishing Measure,"A validated instrument measuring flourishing across happiness, health, meaning, character, relationships, and financial stability — widely used to evaluate interventions, including AI.",tyler-vanderweele,instrument|validation,,,,
hai-index,stanford-hai,AI Index Report,"The annual global report tracking AI progress, adoption, and societal impact — a shared evidence base for policymakers worldwide.",,metrics|annual report,,,,
hai-del,stanford-hai,Digital Economy Lab,"Research on how AI transforms work, productivity, and human wellbeing across the economy.",erik-brynjolfsson,economics|future of work,,,,
wrc-whr,oxford-wrc,World Happiness Report,"The annual UN-partnered report ranking global happiness, produced with Gallup World Poll data.",jan-emmanuel-de-neve,global|annual report,,gallup,https://worldhappiness.report,
wrc-work,oxford-wrc,Work Wellbeing Score,Large-scale measurement of workplace wellbeing (with Indeed) — a template for how AI-era work should be evaluated by how people actually feel.,jan-emmanuel-de-neve,workplace|measurement,,,,
oii-wellbeing,oii,Digital Technology & Adolescent Wellbeing,"Large-scale, preregistered analyses testing — and often overturning — assumed harms of screens and games on young people.",andrew-przybylski,adolescents|replication,,,,
oxe-values,oxford-ethics,AI & Human Values,Philosophical research on how AI should be shaped by — and accountable to — a rich account of the human good.,john-tasioulas,philosophy|the good life,,,,
cfi-narratives,cfi,Global AI Narratives,How different cultures imagine AI — and how those stories shape what gets built and regulated.,,culture|narratives,,,,
chai-assist,chai,Assistance Games,Formal models in which AI systems learn human objectives through interaction rather than assuming them.,stuart-russell,theory|alignment,,,,
bkc-ai,bkc,Ethics & Governance of AI Initiative,A joint initiative with the MIT Media Lab on steering AI development toward the public good.,,governance|MIT collaboration,,aha,,
citp-snakeoil,citp,AI Snake Oil,Research and public writing separating genuine AI progress from hype — and its consequences for institutions and people.,arvind-narayanan,public scholarship|criticism,,,,
yale-govdig,yale-dec,Governing Digital Innovation,Frameworks for governing AI and data technologies so they serve human dignity rather than erode it.,luciano-floridi,governance|dignity,,,,
wwbp,upenn-ppc,World Well-Being Project,Measuring psychological wellbeing at population scale from social-media language using computational methods.,lyle-ungar,NLP|measurement,,,,
cmu-tutor,cmu-hcii,AI Tutoring & Learning,Intelligent tutoring systems that measurably improve learning while keeping human agency central.,,education|augmentation,,,,
turing-health,turing,AI for Health & Wellbeing,National research applying AI to mental and physical health while safeguarding public trust.,,health|public trust,,,,
csc-ai,uva-csc,AI + Human Flourishing Initiative,An interdisciplinary research interest group incubating AI interventions that enhance wellbeing and inner life.,,interventions|interdisciplinary,,,https://csc.virginia.edu/research/ai-human-flourishing-initiative,
isr-relig-health,baylor-isr,"Religion, Health & Flourishing","Research on how faith, community, and character contribute to human flourishing — bringing meaning and purpose into the empirical picture.",byron-johnson,meaning|character,,,,
